[2025-08-11 11:43:51] ℹ️ Processo 71000.011637/2024-55 sem links.
[2025-08-11 11:43:51] Iniciando scraping do processo: 71000.022377/2024-43
[2025-08-11 11:43:54] ℹ️ Processo 71000.022377/2024-43 sem links.
[2025-08-11 11:43:54] Iniciando scraping do processo: 71000.012965/2024-79
[2025-08-11 11:43:57] ℹ️ Processo 71000.012965/2024-79 sem links.
[2025-08-11 11:43:57] Iniciando scraping do processo: 71000.010972/2024-36
[2025-08-11 11:44:00] ℹ️ Processo 71000.010972/2024-36 sem links.
[2025-08-11 11:44:00] Iniciando scraping do processo: 71000.041073/2024-85
[2025-08-11 11:44:03] ℹ️ Processo 71000.041073/2024-85 sem links.
[2025-08-11 11:44:03] Iniciando scraping do processo: 71000.012876/2024-22
[2025-08-11 11:44:05] ℹ️ Processo 71000.012876/2024-22 sem links.
[2025-08-11 11:44:05] Iniciando scraping do processo: 71000.012035/2024-15
[2025-08-11 11:44:08] ℹ️ Processo 71000.012035/2024-15 sem links.
[2025-08-11 11:44:08] Iniciando scraping do processo: 71000.016883/2024-01
[2025-08-11 11:44:11] ℹ️ Processo 71000.016883/2024-01 sem links.
[2025-08-11 11:44:11] Iniciando scraping do processo: 71000.012036/2024-60
[2025-08-11 11:44:13] ℹ️ Processo 71000.012036/2024-60 sem links.
[2025-08-11 11:44:13] Iniciando scraping do processo: 71000.053112/2024-97
[2025-08-11 11:44:16] ℹ️ Processo 71000.053112/2024-97 sem links.
[2025-08-11 11:44:16] Iniciando scraping do processo: 71000.016748/2024-58
[2025-08-11 11:44:18] ℹ️ Processo 71000.016748/2024-58 sem links.
[2025-08-11 11:44:18] Iniciando scraping do processo: 71000.021108/2024-60
[2025-08-11 11:44:22] ℹ️ Processo 71000.021108/2024-60 sem links.
[2025-08-11 11:44:22] Iniciando scraping do processo: 71000.017414/2024-00
[2025-08-11 11:44:25] ℹ️ Processo 71000.017414/2024-00 sem links.
[2025-08-11 11:44:25] Iniciando scraping do processo: 71000.012168/2024-91
