[2025-07-14 08:19:22] ℹ️ Processo 71000.041073/2024-85 sem links.
[2025-07-14 08:19:22] Iniciando scraping do processo: 71000.012876/2024-22
[2025-07-14 08:19:25] ℹ️ Processo 71000.012876/2024-22 sem links.
[2025-07-14 08:19:25] Iniciando scraping do processo: 71000.012035/2024-15
[2025-07-14 08:19:28] ℹ️ Processo 71000.012035/2024-15 sem links.
[2025-07-14 08:19:28] Iniciando scraping do processo: 71000.016883/2024-01
[2025-07-14 08:19:30] ℹ️ Processo 71000.016883/2024-01 sem links.
[2025-07-14 08:19:30] Iniciando scraping do processo: 71000.012036/2024-60
[2025-07-14 08:19:33] ℹ️ Processo 71000.012036/2024-60 sem links.
[2025-07-14 08:19:33] Iniciando scraping do processo: 71000.053112/2024-97
[2025-07-14 08:19:36] ℹ️ Processo 71000.053112/2024-97 sem links.
[2025-07-14 08:19:36] Iniciando scraping do processo: 71000.016748/2024-58
[2025-07-14 08:19:38] ℹ️ Processo 71000.016748/2024-58 sem links.
[2025-07-14 08:19:38] Iniciando scraping do processo: 71000.021108/2024-60
[2025-07-14 08:19:41] ℹ️ Processo 71000.021108/2024-60 sem links.
[2025-07-14 08:19:41] Iniciando scraping do processo: 71000.017414/2024-00
[2025-07-14 08:19:44] ℹ️ Processo 71000.017414/2024-00 sem links.
[2025-07-14 08:19:44] Iniciando scraping do processo: 71000.012168/2024-91
[2025-07-14 08:19:46] ℹ️ Processo 71000.012168/2024-91 sem links.
[2025-07-14 08:19:47] Iniciando scraping do processo: 71000.021168/2024-82
[2025-07-14 08:19:49] ℹ️ Processo 71000.021168/2024-82 sem links.
[2025-07-14 08:19:49] Iniciando scraping do processo: 71000.013271/2024-59
[2025-07-14 08:19:52] ℹ️ Processo 71000.013271/2024-59 sem links.
[2025-07-14 08:19:52] Iniciando scraping do processo: 71000.014197/2024-98
[2025-07-14 08:19:55] ℹ️ Processo 71000.014197/2024-98 sem links.
[2025-07-14 08:19:55] Iniciando scraping do processo: 71000.012430/2024-06
[2025-07-14 08:19:57] ℹ️ Processo 71000.012430/2024-06 sem links.
[2025-07-14 08:19:57] Iniciando scraping do processo: 71000.025590/2024-15
[2025-07-14 08:20:00] ℹ️ Processo 71000.025590/2024-15 sem links.
[2025-07-14 08:20:00] Iniciando scraping do processo: 71000.012129/2024-94
[2025-07-14 08:20:03] ℹ️ Processo 71000.012129/2024-94 sem links.
[2025-07-14 08:20:03] Iniciando scraping do processo: 71000.063239/2023-33
[2025-07-14 08:20:05] ℹ️ Processo 71000.063239/2023-33 sem links.
[2025-07-14 08:20:05] Iniciando scraping do processo: 71000.016867/2024-19
[2025-07-14 08:20:08] ℹ️ Processo 71000.016867/2024-19 sem links.
[2025-07-14 08:20:08] Iniciando scraping do processo: 71000.010831/2024-13
[2025-07-14 08:20:10] ℹ️ Processo 71000.010831/2024-13 sem links.
[2025-07-14 08:20:10] Iniciando scraping do processo: 71000.011844/2024-18
[2025-07-14 08:20:13] ℹ️ Processo 71000.011844/2024-18 sem links.
